GENERATION_PROJECT,timepoint,gen_max_capacity_factor
PV-HTC,83,0.802360365
PV-HTC,84,0.823119331
PV-HTC,85,0.812187424
PV-HTC,86,0.757756316
PV-HTC,87,0.655223992
PV-HTC,88,0.493112563
PV-HTC,89,0.269114122
PV-HTC,90,0.04096641
PV-HTC,91,0
PV-HTC,92,0
PV-HTC,93,0
PV-HTC,94,0
PV-HTC,95,0
PV-HTC,96,0
PV-HTC,97,0
PV-HTC,98,0
PV-HTC,99,0
PV-HTC,100,0
PV-HTC,101,0
PV-HTC,102,0
PV-HTC,103,0.093534263
PV-HTC,104,0.395539275
PV-HTC,105,0.639580407
PV-HTC,106,0.781697396
PV-HTC,107,0.843126747
PV-HTC,108,0.867879757
PV-HTC,109,0.854001914
PV-HTC,110,0.811008419
PV-HTC,111,0.720842281
PV-HTC,112,0.563387899
PV-HTC,113,0.32900023
PV-HTC,114,0.054700512
PV-HTC,115,0
PV-HTC,116,0
PV-HTC,117,0
PV-HTC,118,0
PV-HTC,119,0
PV-HTC,120,0
PV-HTC,121,0
PV-HTC,122,0
PV-HTC,123,0
PV-HTC,124,0
PV-HTC,125,0
PV-HTC,126,0
PV-HTC,127,0.103780532
PV-HTC,128,0.426044864
PV-HTC,129,0.671382021
PV-HTC,130,0.809614864
PV-HTC,131,0.866469136
PV-HTC,132,0.880505434
PV-HTC,133,0.865142194
PV-HTC,134,0.816872291
PV-HTC,135,0.723441003
PV-HTC,136,0.563036698
PV-HTC,137,0.332557044
PV-HTC,138,0.054555993
PV-HTC,139,0
PV-HTC,140,0
PV-HTC,141,0
PV-HTC,142,0
PV-HTC,143,0
PV-HTC,144,0
PV-HTC,145,0
PV-HTC,146,0
PV-HTC,147,0
PV-HTC,148,0
PV-HTC,149,0
PV-HTC,150,0
PV-HTC,151,0.090150407
PV-HTC,152,0.389031064
PV-HTC,153,0.60822861
PV-HTC,154,0.745566456
PV-HTC,155,0.820192025
PV-HTC,156,0.840913598
PV-HTC,157,0.830439343
PV-HTC,158,0.78073867
PV-HTC,159,0.68931946
PV-HTC,160,0.535807518
PV-HTC,161,0.311500068
PV-HTC,162,0.048229595
PV-HTC,163,0
PV-HTC,164,0
PV-HTC,165,0
PV-HTC,166,0
PV-HTC,167,0
PV-HTC,168,0
PV-HTC,169,0
PV-HTC,170,0
PV-HTC,171,0
PV-HTC,172,0
PV-HTC,173,0
PV-HTC,174,0
PV-HTC,175,0.080833942
PV-HTC,176,0.367014814
PV-HTC,177,0.592704452
PV-HTC,178,0.734693027
PV-HTC,179,0.802360365
PV-HTC,180,0.823119331
PV-HTC,181,0.812187424
PV-HTC,182,0.757756316
PV-HTC,183,0.655223992
PV-HTC,184,0.493112563
PV-HTC,185,0.269114122
PV-HTC,186,0.04096641
PV-HTC,187,0
PV-HTC,188,0
PV-HTC,189,0
PV-HTC,190,0
PV-HTC,191,0
PV-HTC,192,0
PV-HTC,193,0
PV-HTC,194,0
PV-HTC,195,0
PV-HTC,196,0
PV-HTC,197,0
PV-HTC,198,0
PV-HTC,199,0.093534263
PV-HTC,200,0.395539275
PV-HTC,201,0.639580407
PV-HTC,202,0.781697396
PV-HTC,203,0.843126747
PV-HTC,204,0.867879757
PV-HTC,205,0.854001914
PV-HTC,206,0.811008419
PV-HTC,207,0.720842281
PV-HTC,208,0.563387899
PV-HTC,209,0.32900023
PV-HTC,210,0.054700512
PV-HTC,211,0
PV-HTC,212,0
PV-HTC,213,0
PV-HTC,214,0
PV-HTC,215,0
PV-HTC,216,0
PV-HTC,217,0
PV-HTC,218,0
PV-HTC,219,0
PV-HTC,220,0
PV-HTC,221,0
PV-HTC,222,0
PV-HTC,223,0.103780532
PV-HTC,224,0.426044864
PV-HTC,225,0.671382021
PV-HTC,226,0.809614864
PV-HTC,227,0.866469136
PV-HTC,228,0.880505434
PV-HTC,229,0.865142194
PV-HTC,230,0.816872291
PV-HTC,231,0.723441003
PV-HTC,232,0.563036698
PV-HTC,233,0.332557044
PV-HTC,234,0.054555993
PV-HTC,235,0
PV-HTC,236,0
PV-HTC,237,0
PV-HTC,238,0
PV-HTC,239,0
PV-HTC,240,0
PV-HTC,241,0
PV-HTC,242,0
PV-HTC,243,0
PV-HTC,244,0
PV-HTC,245,0
PV-HTC,246,0
PV-HTC,247,0.090150407
PV-HTC,248,0.389031064
PV-HTC,249,0.60822861
PV-HTC,250,0.745566456
PV-HTC,251,0.820192025
PV-HTC,252,0.840913598
PV-HTC,253,0.830439343
PV-HTC,254,0.78073867
PV-HTC,255,0.68931946
PV-HTC,256,0.535807518
PV-HTC,257,0.311500068
PV-HTC,258,0.048229595
PV-HTC,259,0
PV-HTC,260,0
PV-HTC,261,0
PV-HTC,262,0
PV-HTC,263,0
PV-HTC,264,0
PV-HTC,265,0
PV-HTC,266,0
PV-HTC,267,0
PV-HTC,268,0
PV-HTC,269,0
PV-HTC,270,0
PV-HTC,271,0.080833942
PV-HTC,272,0.367014814
PV-HTC,273,0.592704452
PV-HTC,274,0.734693027
PV-HTC,275,0.802360365
PV-HTC,276,0.823119331
PV-HTC,277,0.812187424
PV-HTC,278,0.757756316
PV-HTC,279,0.655223992
PV-HTC,280,0.493112563
PV-HTC,281,0.269114122
PV-HTC,282,0.04096641
PV-HTC,283,0
PV-HTC,284,0
PV-HTC,285,0
PV-HTC,286,0
PV-HTC,287,0
PV-HTC,288,0
PV-HTC,289,0
PV-HTC,290,0
PV-HTC,291,0
PV-HTC,292,0
PV-HTC,293,0
PV-HTC,294,0
PV-HTC,295,0.093534263
PV-HTC,296,0.395539275
PV-HTC,297,0.639580407
PV-HTC,298,0.781697396
PV-HTC,299,0.843126747
PV-HTC,300,0.867879757
PV-HTC,301,0.854001914
PV-HTC,302,0.811008419
PV-HTC,303,0.720842281
PV-HTC,304,0.563387899
PV-HTC,305,0.32900023
PV-HTC,306,0.054700512
PV-HTC,307,0
PV-HTC,308,0
PV-HTC,309,0
PV-HTC,310,0
PV-HTC,311,0
PV-HTC,312,0
PV-HTC,313,0
PV-HTC,314,0
PV-HTC,315,0
PV-HTC,316,0
PV-HTC,317,0
PV-HTC,318,0
PV-HTC,319,0.103780532
PV-HTC,320,0.426044864
PV-HTC,321,0.671382021
PV-HTC,322,0.809614864
PV-HTC,323,0.866469136
PV-HTC,324,0.880505434
PV-HTC,325,0.865142194
PV-HTC,326,0.816872291
PV-HTC,327,0.723441003
PV-HTC,328,0.563036698
PV-HTC,329,0.332557044
PV-HTC,330,0.054555993
PV-HTC,331,0
PV-HTC,332,0
PV-HTC,333,0
PV-HTC,334,0
PV-HTC,335,0
PV-HTC,336,0
PV-HTC,337,0
PV-HTC,338,0
PV-HTC,339,0
PV-HTC,340,0
PV-HTC,341,0
PV-HTC,342,0
PV-HTC,343,0.090150407
PV-HTC,344,0.389031064
PV-HTC,345,0.60822861
PV-HTC,346,0.745566456
PV-HTC,347,0.820192025
PV-HTC,348,0.840913598
PV-HTC,349,0.830439343
PV-HTC,350,0.78073867
PV-HTC,351,0.68931946
PV-HTC,352,0.535807518
PV-HTC,353,0.311500068
PV-HTC,354,0.048229595
PV-HTC,355,0
PV-HTC,356,0
PV-HTC,357,0
PV-HTC,358,0
PV-HTC,359,0
PV-HTC,360,0
PV-HTC,361,0
PV-HTC,362,0
PV-HTC,363,0
PV-HTC,364,0
PV-HTC,365,0
PV-HTC,366,0
PV-HTC,367,0.080833942
PV-HTC,368,0.367014814
PV-HTC,369,0.592704452
PV-HTC,370,0.734693027
PV-HTC,371,0.802360365
PV-HTC,372,0.823119331
PV-HTC,373,0.812187424
PV-HTC,374,0.757756316
PV-HTC,375,0.655223992
PV-HTC,376,0.493112563
PV-HTC,377,0.269114122
PV-HTC,378,0.04096641
PV-HTC,379,0
PV-HTC,380,0
PV-HTC,381,0
PV-HTC,382,0
PV-HTC,383,0
PV-HTC,384,0
PV-HTC,385,0
PV-HTC,386,0
PV-HTC,387,0
PV-HTC,388,0
PV-HTC,389,0
PV-HTC,390,0
PV-HTC,391,0.093534263
PV-HTC,392,0.395539275
PV-HTC,393,0.639580407
PV-HTC,394,0.781697396
PV-HTC,395,0.843126747
PV-HTC,396,0.867879757
PV-HTC,397,0.854001914
PV-HTC,398,0.811008419
PV-HTC,399,0.720842281
PV-HTC,400,0.563387899
PV-HTC,401,0.32900023
PV-HTC,402,0.054700512
PV-HTC,403,0
PV-HTC,404,0
PV-HTC,405,0
PV-HTC,406,0
PV-HTC,407,0
PV-HTC,408,0
PV-HTC,409,0
PV-HTC,410,0
PV-HTC,411,0
PV-HTC,412,0
PV-HTC,413,0
PV-HTC,414,0
PV-HTC,415,0.103780532
PV-HTC,416,0.426044864
PV-HTC,417,0.671382021
PV-HTC,418,0.809614864
PV-HTC,419,0.866469136
PV-HTC,420,0.880505434
PV-HTC,421,0.865142194
PV-HTC,422,0.816872291
PV-HTC,423,0.723441003
PV-HTC,424,0.563036698
PV-HTC,425,0.332557044
PV-HTC,426,0.054555993
PV-HTC,427,0
PV-HTC,428,0
PV-HTC,429,0
PV-HTC,430,0
PV-HTC,431,0
PV-HTC,432,0
PV-HTC,433,0
PV-HTC,434,0
PV-HTC,435,0
PV-HTC,436,0
PV-HTC,437,0
PV-HTC,438,0
PV-HTC,439,0.090150407
PV-HTC,440,0.389031064
PV-HTC,441,0.60822861
PV-HTC,442,0.745566456
PV-HTC,443,0.820192025
PV-HTC,444,0.840913598
PV-HTC,445,0.830439343
PV-HTC,446,0.78073867
PV-HTC,447,0.68931946
PV-HTC,448,0.535807518
PV-HTC,449,0.311500068
PV-HTC,450,0.048229595
PV-HTC,451,0
PV-HTC,452,0
PV-HTC,453,0
PV-HTC,454,0
PV-HTC,455,0
PV-HTC,456,0
PV-HTC,457,0
PV-HTC,458,0
PV-HTC,459,0
PV-HTC,460,0
PV-HTC,461,0
PV-HTC,462,0
PV-HTC,463,0.080833942
PV-HTC,464,0.367014814
PV-HTC,465,0.592704452
PV-HTC,466,0.734693027
PV-HTC,467,0.802360365
PV-HTC,468,0.823119331
PV-HTC,469,0.812187424
PV-HTC,470,0.757756316
PV-HTC,471,0.655223992
PV-HTC,472,0.493112563
PV-HTC,473,0.269114122
PV-HTC,474,0.04096641
PV-HTC,475,0
PV-HTC,476,0
PV-HTC,477,0
PV-HTC,478,0
PV-HTC,479,0
PV-HTC,480,0
PV-HTC,481,0
PV-HTC,482,0
PV-HTC,483,0
PV-HTC,484,0
PV-HTC,485,0
PV-HTC,486,0
PV-HTC,487,0.093534263
PV-HTC,488,0.395539275
PV-HTC,489,0.639580407
PV-HTC,490,0.781697396
PV-HTC,491,0.843126747
PV-HTC,492,0.867879757
PV-HTC,493,0.854001914
PV-HTC,494,0.811008419
PV-HTC,495,0.720842281
PV-HTC,496,0.563387899
PV-HTC,497,0.32900023
PV-HTC,498,0.054700512
PV-HTC,499,0
PV-HTC,500,0
PV-HTC,501,0
PV-HTC,502,0
PV-HTC,503,0
PV-HTC,504,0
PV-HTC,505,0
PV-HTC,506,0
PV-HTC,507,0
PV-HTC,508,0
PV-HTC,509,0
PV-HTC,510,0
PV-HTC,511,0.103780532
PV-HTC,512,0.426044864
PV-HTC,513,0.671382021
PV-HTC,514,0.809614864
PV-HTC,515,0.866469136
PV-HTC,516,0.880505434
PV-HTC,517,0.865142194
PV-HTC,518,0.816872291
PV-HTC,519,0.723441003
PV-HTC,520,0.563036698
PV-HTC,521,0.332557044
PV-HTC,522,0.054555993
PV-HTC,523,0
PV-HTC,524,0
PV-HTC,525,0
PV-HTC,526,0
PV-HTC,527,0
PV-HTC,528,0
PV-HTC,529,0
PV-HTC,530,0
PV-HTC,531,0
PV-HTC,532,0
PV-HTC,533,0
PV-HTC,534,0
PV-HTC,535,0.090150407
PV-HTC,536,0.389031064
PV-HTC,537,0.60822861
PV-HTC,538,0.745566456
PV-HTC,539,0.820192025
PV-HTC,540,0.840913598
PV-HTC,541,0.830439343
PV-HTC,542,0.78073867
PV-HTC,543,0.68931946
PV-HTC,544,0.535807518
PV-HTC,545,0.311500068
PV-HTC,546,0.048229595
PV-HTC,547,0
PV-HTC,548,0
PV-HTC,549,0
PV-HTC,550,0
PV-HTC,551,0
PV-HTC,552,0
PV-HTC,553,0
PV-HTC,554,0
PV-HTC,555,0
PV-HTC,556,0
PV-HTC,557,0
PV-HTC,558,0
PV-HTC,559,0.080833942
PV-HTC,560,0.367014814
PV-HTC,561,0.592704452
PV-HTC,562,0.734693027
PV-HTC,563,0.802360365
PV-HTC,564,0.823119331
PV-HTC,565,0.812187424
PV-HTC,566,0.757756316
PV-HTC,567,0.655223992
PV-HTC,568,0.493112563
PV-HTC,569,0.269114122
PV-HTC,570,0.04096641
PV-HTC,571,0
PV-HTC,572,0
PV-HTC,573,0
PV-HTC,574,0
PV-HTC,575,0
PV-HTC,576,0
PV-CAUCA,1,0
PV-CAUCA,2,0
PV-CAUCA,3,0
PV-CAUCA,4,0
PV-CAUCA,5,0
PV-CAUCA,6,0
PV-CAUCA,7,0.093534263
PV-CAUCA,8,0.395539275
PV-CAUCA,9,0.639580407
PV-CAUCA,10,0.781697396
PV-CAUCA,11,0.843126747
PV-CAUCA,12,0.867879757
PV-CAUCA,13,0.854001914
PV-CAUCA,14,0.811008419
PV-CAUCA,15,0.720842281
PV-CAUCA,16,0.563387899
PV-CAUCA,17,0.32900023
PV-CAUCA,18,0.054700512
PV-CAUCA,19,0
PV-CAUCA,20,0
PV-CAUCA,21,0
PV-CAUCA,22,0
PV-CAUCA,23,0
PV-CAUCA,24,0
PV-CAUCA,25,0
PV-CAUCA,26,0
PV-CAUCA,27,0
PV-CAUCA,28,0
PV-CAUCA,29,0
PV-CAUCA,30,0
PV-CAUCA,31,0.103780532
PV-CAUCA,32,0.426044864
PV-CAUCA,33,0.671382021
PV-CAUCA,34,0.809614864
PV-CAUCA,35,0.866469136
PV-CAUCA,36,0.880505434
PV-CAUCA,37,0.865142194
PV-CAUCA,38,0.816872291
PV-CAUCA,39,0.723441003
PV-CAUCA,40,0.563036698
PV-CAUCA,41,0.332557044
PV-CAUCA,42,0.054555993
PV-CAUCA,43,0
PV-CAUCA,44,0
PV-CAUCA,45,0
PV-CAUCA,46,0
PV-CAUCA,47,0
PV-CAUCA,48,0
PV-CAUCA,49,0
PV-CAUCA,50,0
PV-CAUCA,51,0
PV-CAUCA,52,0
PV-CAUCA,53,0
PV-CAUCA,54,0
PV-CAUCA,55,0.090150407
PV-CAUCA,56,0.389031064
PV-CAUCA,57,0.60822861
PV-CAUCA,58,0.745566456
PV-CAUCA,59,0.820192025
PV-CAUCA,60,0.840913598
PV-CAUCA,61,0.830439343
PV-CAUCA,62,0.78073867
PV-CAUCA,63,0.68931946
PV-CAUCA,64,0.535807518
PV-CAUCA,65,0.311500068
PV-CAUCA,66,0.048229595
PV-CAUCA,67,0
PV-CAUCA,68,0
PV-CAUCA,69,0
PV-CAUCA,70,0
PV-CAUCA,71,0
PV-CAUCA,72,0
PV-CAUCA,73,0
PV-CAUCA,74,0
PV-CAUCA,75,0
PV-CAUCA,76,0
PV-CAUCA,77,0
PV-CAUCA,78,0
PV-CAUCA,79,0.080833942
PV-CAUCA,80,0.367014814
PV-CAUCA,81,0.592704452
PV-CAUCA,82,0.734693027
PV-CAUCA,83,0.802360365
PV-CAUCA,84,0.823119331
PV-CAUCA,85,0.812187424
PV-CAUCA,86,0.757756316
PV-CAUCA,87,0.655223992
PV-CAUCA,88,0.493112563
PV-CAUCA,89,0.269114122
PV-CAUCA,90,0.04096641
PV-CAUCA,91,0
PV-CAUCA,92,0
PV-CAUCA,93,0
PV-CAUCA,94,0
PV-CAUCA,95,0
PV-CAUCA,96,0
PV-CAUCA,97,0
PV-CAUCA,98,0
PV-CAUCA,99,0
PV-CAUCA,100,0
PV-CAUCA,101,0
PV-CAUCA,102,0
PV-CAUCA,103,0.093534263
PV-CAUCA,104,0.395539275
PV-CAUCA,105,0.639580407
PV-CAUCA,106,0.781697396
PV-CAUCA,107,0.843126747
PV-CAUCA,108,0.867879757
PV-CAUCA,109,0.854001914
PV-CAUCA,110,0.811008419
PV-CAUCA,111,0.720842281
PV-CAUCA,112,0.563387899
PV-CAUCA,113,0.32900023
PV-CAUCA,114,0.054700512
PV-CAUCA,115,0
PV-CAUCA,116,0
PV-CAUCA,117,0
PV-CAUCA,118,0
PV-CAUCA,119,0
PV-CAUCA,120,0
PV-CAUCA,121,0
PV-CAUCA,122,0
PV-CAUCA,123,0
PV-CAUCA,124,0
PV-CAUCA,125,0
PV-CAUCA,126,0
PV-CAUCA,127,0.103780532
PV-CAUCA,128,0.426044864
PV-CAUCA,129,0.671382021
PV-CAUCA,130,0.809614864
PV-CAUCA,131,0.866469136
PV-CAUCA,132,0.880505434
PV-CAUCA,133,0.865142194
PV-CAUCA,134,0.816872291
PV-CAUCA,135,0.723441003
PV-CAUCA,136,0.563036698
PV-CAUCA,137,0.332557044
PV-CAUCA,138,0.054555993
PV-CAUCA,139,0
PV-CAUCA,140,0
PV-CAUCA,141,0
PV-CAUCA,142,0
PV-CAUCA,143,0
PV-CAUCA,144,0
PV-CAUCA,145,0
PV-CAUCA,146,0
PV-CAUCA,147,0
PV-CAUCA,148,0
PV-CAUCA,149,0
PV-CAUCA,150,0
PV-CAUCA,151,0.090150407
PV-CAUCA,152,0.389031064
PV-CAUCA,153,0.60822861
PV-CAUCA,154,0.745566456
PV-CAUCA,155,0.820192025
PV-CAUCA,156,0.840913598
PV-CAUCA,157,0.830439343
PV-CAUCA,158,0.78073867
PV-CAUCA,159,0.68931946
PV-CAUCA,160,0.535807518
PV-CAUCA,161,0.311500068
PV-CAUCA,162,0.048229595
PV-CAUCA,163,0
PV-CAUCA,164,0
PV-CAUCA,165,0
PV-CAUCA,166,0
PV-CAUCA,167,0
PV-CAUCA,168,0
PV-CAUCA,169,0
PV-CAUCA,170,0
PV-CAUCA,171,0
PV-CAUCA,172,0
PV-CAUCA,173,0
PV-CAUCA,174,0
PV-CAUCA,175,0.080833942
PV-CAUCA,176,0.367014814
PV-CAUCA,177,0.592704452
PV-CAUCA,178,0.734693027
PV-CAUCA,179,0.802360365
PV-CAUCA,180,0.823119331
PV-CAUCA,181,0.812187424
PV-CAUCA,182,0.757756316
PV-CAUCA,183,0.655223992
PV-CAUCA,184,0.493112563
PV-CAUCA,185,0.269114122
PV-CAUCA,186,0.04096641
PV-CAUCA,187,0
PV-CAUCA,188,0
PV-CAUCA,189,0
PV-CAUCA,190,0
PV-CAUCA,191,0
PV-CAUCA,192,0
PV-CAUCA,193,0
PV-CAUCA,194,0
PV-CAUCA,195,0
PV-CAUCA,196,0
PV-CAUCA,197,0
PV-CAUCA,198,0
PV-CAUCA,199,0.093534263
PV-CAUCA,200,0.395539275
PV-CAUCA,201,0.639580407
PV-CAUCA,202,0.781697396
PV-CAUCA,203,0.843126747
PV-CAUCA,204,0.867879757
PV-CAUCA,205,0.854001914
PV-CAUCA,206,0.811008419
PV-CAUCA,207,0.720842281
PV-CAUCA,208,0.563387899
PV-CAUCA,209,0.32900023
PV-CAUCA,210,0.054700512
PV-CAUCA,211,0
PV-CAUCA,212,0
PV-CAUCA,213,0
PV-CAUCA,214,0
PV-CAUCA,215,0
PV-CAUCA,216,0
PV-CAUCA,217,0
PV-CAUCA,218,0
PV-CAUCA,219,0
PV-CAUCA,220,0
PV-CAUCA,221,0
PV-CAUCA,222,0
PV-CAUCA,223,0.103780532
PV-CAUCA,224,0.426044864
PV-CAUCA,225,0.671382021
PV-CAUCA,226,0.809614864
PV-CAUCA,227,0.866469136
PV-CAUCA,228,0.880505434
PV-CAUCA,229,0.865142194
PV-CAUCA,230,0.816872291
PV-CAUCA,231,0.723441003
PV-CAUCA,232,0.563036698
PV-CAUCA,233,0.332557044
PV-CAUCA,234,0.054555993
PV-CAUCA,235,0
PV-CAUCA,236,0
PV-CAUCA,237,0
PV-CAUCA,238,0
PV-CAUCA,239,0
PV-CAUCA,240,0
PV-CAUCA,241,0
PV-CAUCA,242,0
PV-CAUCA,243,0
PV-CAUCA,244,0
PV-CAUCA,245,0
PV-CAUCA,246,0
PV-CAUCA,247,0.090150407
PV-CAUCA,248,0.389031064
PV-CAUCA,249,0.60822861
PV-CAUCA,250,0.745566456
PV-CAUCA,251,0.820192025
PV-CAUCA,252,0.840913598
PV-CAUCA,253,0.830439343
PV-CAUCA,254,0.78073867
PV-CAUCA,255,0.68931946
PV-CAUCA,256,0.535807518
PV-CAUCA,257,0.311500068
PV-CAUCA,258,0.048229595
PV-CAUCA,259,0
PV-CAUCA,260,0
PV-CAUCA,261,0
PV-CAUCA,262,0
PV-CAUCA,263,0
PV-CAUCA,264,0
PV-CAUCA,265,0
PV-CAUCA,266,0
PV-CAUCA,267,0
PV-CAUCA,268,0
PV-CAUCA,269,0
PV-CAUCA,270,0
PV-CAUCA,271,0.080833942
PV-CAUCA,272,0.367014814
PV-CAUCA,273,0.592704452
PV-CAUCA,274,0.734693027
PV-CAUCA,275,0.802360365
PV-CAUCA,276,0.823119331
PV-CAUCA,277,0.812187424
PV-CAUCA,278,0.757756316
PV-CAUCA,279,0.655223992
PV-CAUCA,280,0.493112563
PV-CAUCA,281,0.269114122
PV-CAUCA,282,0.04096641
PV-CAUCA,283,0
PV-CAUCA,284,0
PV-CAUCA,285,0
PV-CAUCA,286,0
PV-CAUCA,287,0
PV-CAUCA,288,0
PV-CAUCA,289,0
PV-CAUCA,290,0
PV-CAUCA,291,0
PV-CAUCA,292,0
PV-CAUCA,293,0
PV-CAUCA,294,0
PV-CAUCA,295,0.093534263
PV-CAUCA,296,0.395539275
PV-CAUCA,297,0.639580407
PV-CAUCA,298,0.781697396
PV-CAUCA,299,0.843126747
PV-CAUCA,300,0.867879757
PV-CAUCA,301,0.854001914
PV-CAUCA,302,0.811008419
PV-CAUCA,303,0.720842281
PV-CAUCA,304,0.563387899
PV-CAUCA,305,0.32900023
PV-CAUCA,306,0.054700512
PV-CAUCA,307,0
PV-CAUCA,308,0
PV-CAUCA,309,0
PV-CAUCA,310,0
PV-CAUCA,311,0
PV-CAUCA,312,0
PV-CAUCA,313,0
PV-CAUCA,314,0
PV-CAUCA,315,0
PV-CAUCA,316,0
PV-CAUCA,317,0
PV-CAUCA,318,0
PV-CAUCA,319,0.103780532
PV-CAUCA,320,0.426044864
PV-CAUCA,321,0.671382021
PV-CAUCA,322,0.809614864
PV-CAUCA,323,0.866469136
PV-CAUCA,324,0.880505434
PV-CAUCA,325,0.865142194
PV-CAUCA,326,0.816872291
PV-CAUCA,327,0.723441003
PV-CAUCA,328,0.563036698
PV-CAUCA,329,0.332557044
PV-CAUCA,330,0.054555993
PV-CAUCA,331,0
PV-CAUCA,332,0
PV-CAUCA,333,0
PV-CAUCA,334,0
PV-CAUCA,335,0
PV-CAUCA,336,0
PV-CAUCA,337,0
PV-CAUCA,338,0
PV-CAUCA,339,0
PV-CAUCA,340,0
PV-CAUCA,341,0
PV-CAUCA,342,0
PV-CAUCA,343,0.090150407
PV-CAUCA,344,0.389031064
PV-CAUCA,345,0.60822861
PV-CAUCA,346,0.745566456
PV-CAUCA,347,0.820192025
PV-CAUCA,348,0.840913598
PV-CAUCA,349,0.830439343
PV-CAUCA,350,0.78073867
PV-CAUCA,351,0.68931946
PV-CAUCA,352,0.535807518
PV-CAUCA,353,0.311500068
PV-CAUCA,354,0.048229595
PV-CAUCA,355,0
PV-CAUCA,356,0
PV-CAUCA,357,0
PV-CAUCA,358,0
PV-CAUCA,359,0
PV-CAUCA,360,0
PV-CAUCA,361,0
PV-CAUCA,362,0
PV-CAUCA,363,0
PV-CAUCA,364,0
PV-CAUCA,365,0
PV-CAUCA,366,0
PV-CAUCA,367,0.080833942
PV-CAUCA,368,0.367014814
PV-CAUCA,369,0.592704452
PV-CAUCA,370,0.734693027
PV-CAUCA,371,0.802360365
PV-CAUCA,372,0.823119331
PV-CAUCA,373,0.812187424
PV-CAUCA,374,0.757756316
PV-CAUCA,375,0.655223992
PV-CAUCA,376,0.493112563
PV-CAUCA,377,0.269114122
PV-CAUCA,378,0.04096641
PV-CAUCA,379,0
PV-CAUCA,380,0
PV-CAUCA,381,0
PV-CAUCA,382,0
PV-CAUCA,383,0
PV-CAUCA,384,0
PV-CAUCA,385,0
PV-CAUCA,386,0
PV-CAUCA,387,0
PV-CAUCA,388,0
PV-CAUCA,389,0
PV-CAUCA,390,0
PV-CAUCA,391,0.093534263
PV-CAUCA,392,0.395539275
PV-CAUCA,393,0.639580407
PV-CAUCA,394,0.781697396
PV-CAUCA,395,0.843126747
PV-CAUCA,396,0.867879757
PV-CAUCA,397,0.854001914
PV-CAUCA,398,0.811008419
PV-CAUCA,399,0.720842281
PV-CAUCA,400,0.563387899
PV-CAUCA,401,0.32900023
PV-CAUCA,402,0.054700512
PV-CAUCA,403,0
PV-CAUCA,404,0
PV-CAUCA,405,0
PV-CAUCA,406,0
PV-CAUCA,407,0
PV-CAUCA,408,0
PV-CAUCA,409,0
PV-CAUCA,410,0
PV-CAUCA,411,0
PV-CAUCA,412,0
PV-CAUCA,413,0
PV-CAUCA,414,0
PV-CAUCA,415,0.103780532
PV-CAUCA,416,0.426044864
PV-CAUCA,417,0.671382021
PV-CAUCA,418,0.809614864
PV-CAUCA,419,0.866469136
PV-CAUCA,420,0.880505434
PV-CAUCA,421,0.865142194
PV-CAUCA,422,0.816872291
PV-CAUCA,423,0.723441003
PV-CAUCA,424,0.563036698
PV-CAUCA,425,0.332557044
PV-CAUCA,426,0.054555993
PV-CAUCA,427,0
PV-CAUCA,428,0
PV-CAUCA,429,0
PV-CAUCA,430,0
