GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
HD-BOLIVAR,2020,1780,0
HD-ATLANTICO,2020,1780,0
HD-COR-SUC,2020,1780,0
HD-GCM,2020,1780,0
HD-NSANT,2020,1780,0
HD-BOY-CAS,2020,1780,0
HD-SANT-ARA,2020,1780,0
HD-MET-GUAV,2020,1780,0
HD-BOG-CUN,2020,1780,0
HD-HTC,2025,1780,0
HD-CAUCA,2025,1780,0
HD-NAR-PUT,2025,1780,0
HD-VALLE,2025,1780,0
HD-CQR,2025,1780,0
HD-ANT-CHO,2025,1780,0
HD-BOLIVAR,2025,1780,0
HD-ATLANTICO,2025,1780,0
HD-COR-SUC,2025,1780,0
HD-GCM,2025,1780,0
HD-NSANT,2025,1780,0
HD-BOY-CAS,2025,1780,0
HD-SANT-ARA,2025,1780,0
HD-MET-GUAV,2025,1780,0
HD-BOG-CUN,2025,1780,0
HD-HTC,2030,1780,0
HD-CAUCA,2030,1780,0
HD-NAR-PUT,2030,1780,0
HD-VALLE,2030,1780,0
HD-CQR,2030,1780,0
HD-ANT-CHO,2030,1780,0
HD-BOLIVAR,2030,1780,0
HD-ATLANTICO,2030,1780,0
HD-COR-SUC,2030,1780,0
HD-GCM,2030,1780,0
HD-NSANT,2030,1780,0
HD-BOY-CAS,2030,1780,0
HD-SANT-ARA,2030,1780,0
HD-MET-GUAV,2030,1780,0
HD-BOG-CUN,2030,1780,0
HD-HTC,2035,1780,0
HD-CAUCA,2035,1780,0
HD-NAR-PUT,2035,1780,0
HD-VALLE,2035,1780,0
HD-CQR,2035,1780,0
HD-ANT-CHO,2035,1780,0
HD-BOLIVAR,2035,1780,0
HD-ATLANTICO,2035,1780,0
HD-COR-SUC,2035,1780,0
HD-GCM,2035,1780,0
HD-NSANT,2035,1780,0
HD-BOY-CAS,2035,1780,0
HD-SANT-ARA,2035,1780,0
HD-MET-GUAV,2035,1780,0
HD-BOG-CUN,2035,1780,0
HD-HTC,2040,1780,0
HD-CAUCA,2040,1780,0
HD-NAR-PUT,2040,1780,0
HD-VALLE,2040,1780,0
HD-CQR,2040,1780,0
HD-ANT-CHO,2040,1780,0
HD-BOLIVAR,2040,1780,0
HD-ATLANTICO,2040,1780,0
HD-COR-SUC,2040,1780,0
HD-GCM,2040,1780,0
HD-NSANT,2040,1780,0
HD-BOY-CAS,2040,1780,0
HD-SANT-ARA,2040,1780,0
HD-MET-GUAV,2040,1780,0
HD-BOG-CUN,2040,1780,0
HD-HTC,2045,1780,0
HD-CAUCA,2045,1780,0
HD-NAR-PUT,2045,1780,0
HD-VALLE,2045,1780,0
HD-CQR,2045,1780,0
HD-ANT-CHO,2045,1780,0
HD-BOLIVAR,2045,1780,0
HD-ATLANTICO,2045,1780,0
HD-COR-SUC,2045,1780,0
HD-GCM,2045,1780,0
HD-NSANT,2045,1780,0
HD-BOY-CAS,2045,1780,0
HD-SANT-ARA,2045,1780,0
HD-MET-GUAV,2045,1780,0
HD-BOG-CUN,2045,1780,0
