LOAD_ZONE;TIMEPOINT;zone_demand_mw
BOY-CAS;3;429.0072546
BOY-CAS;4;429.0072546
BOY-CAS;5;477.2768309
BOY-CAS;6;477.2768309
BOY-CAS;7;489.5594194
BOY-CAS;8;489.5594194
BOY-CAS;9;552.9747653
BOY-CAS;10;552.9747653
BOY-CAS;11;569.0274648
BOY-CAS;12;569.0274648
BOY-CAS;13;597.4920976
BOY-CAS;14;597.4920976
BOY-CAS;15;614.8371226
BOY-CAS;16;614.8371226
BOY-CAS;17;645.5933058
BOY-CAS;18;645.5933058
BOY-CAS;19;664.3346951
BOY-CAS;20;664.3346951
BOY-CAS;21;697.5669103
BOY-CAS;22;697.5669103
BOY-CAS;23;717.8170785
BOY-CAS;24;717.8170785
SANT-ARA;1;585.8316976
SANT-ARA;2;585.8316976
SANT-ARA;3;595.1534133
SANT-ARA;4;595.1534133
SANT-ARA;5;635.6137861
SANT-ARA;6;635.6137861
SANT-ARA;7;647.1351427
SANT-ARA;8;647.1351427
SANT-ARA;9;687.1697373
SANT-ARA;10;687.1697373
SANT-ARA;11;699.3117011
SANT-ARA;12;699.3117011
SANT-ARA;13;742.4904599
SANT-ARA;14;742.4904599
SANT-ARA;15;755.6099146
SANT-ARA;16;755.6099146
SANT-ARA;17;802.2647871
SANT-ARA;18;802.2647871
SANT-ARA;19;816.4404259
SANT-ARA;20;816.4404259
SANT-ARA;21;866.8512573
SANT-ARA;22;866.8512573
SANT-ARA;23;882.1681084
SANT-ARA;24;882.1681084
MET-GUAV;1;434.520485
MET-GUAV;2;434.520485
MET-GUAV;3;438.3154629
MET-GUAV;4;438.3154629
MET-GUAV;5;378.0380272
MET-GUAV;6;378.0380272
MET-GUAV;7;377.0755274
MET-GUAV;8;377.0755274
MET-GUAV;9;351.7624272
MET-GUAV;10;351.7624272
MET-GUAV;11;349.021624
MET-GUAV;12;349.021624
MET-GUAV;13;380.0811243
MET-GUAV;14;380.0811243
MET-GUAV;15;377.1196723
MET-GUAV;16;377.1196723
MET-GUAV;17;410.6796232
MET-GUAV;18;410.6796232
MET-GUAV;19;407.4797589
MET-GUAV;20;407.4797589
MET-GUAV;21;443.7414597
MET-GUAV;22;443.7414597
MET-GUAV;23;440.2839898
MET-GUAV;24;440.2839898
BOG-CUN;1;2635.063305
BOG-CUN;2;2635.063305
BOG-CUN;3;2700.898597
BOG-CUN;4;2700.898597
BOG-CUN;5;2917.082272
BOG-CUN;6;2917.082272
BOG-CUN;7;2985.033857
BOG-CUN;8;2985.033857
BOG-CUN;9;3200.414561
BOG-CUN;10;3200.414561
BOG-CUN;11;3279.629685
BOG-CUN;12;3279.629685
BOG-CUN;13;3458.064507
BOG-CUN;14;3458.064507
BOG-CUN;15;3543.656859
BOG-CUN;16;3543.656859
BOG-CUN;17;3736.456609
BOG-CUN;18;3736.456609
BOG-CUN;19;3828.939588
BOG-CUN;20;3828.939588
BOG-CUN;21;4037.260716
BOG-CUN;22;4037.260716
BOG-CUN;23;4137.189055
BOG-CUN;24;4137.189055
